eeg_power,raw_value,attention,meditation,blink,amount_of_noise
"[16336,54776,9150,12900,5270,58453,27660,7080]",58,57,57,None,0
"[299978,28279,11985,4444,6782,25289,17136,7440]",4,50,63,None,0
"[5938,18944,15244,5251,16301,48109,8471,9260]",70,60,50,None,0
"[2053,21203,9559,6203,2437,40100,10365,7109]",74,60,47,None,0
"[125338,138143,51088,14947,6273,48258,12003,8280]",119,50,54,None,0
"[34176,22503,14798,12991,10871,31646,14685,9005]",37,51,57,None,0
"[4780,30680,11602,32340,13735,44720,15411,3538]",-28,44,64,None,0
"[87969,4573,6408,1099,3775,6574,4630,2591]",96,40,70,None,0
"[980524,232606,4085,9084,19823,73590,11283,9577]",74,41,50,None,0
"[5796,7036,3449,8979,4911,50089,20218,13761]",51,53,41,None,0
"[12636,41706,29769,11668,16347,8841,20813,5906]",43,40,43,None,0
"[190415,29381,2037,2076,6644,10652,5479,2005]",4,35,26,None,0
"[53419,94648,18296,11077,9844,40771,7618,9802]",68,37,43,None,0
"[264262,9339,3268,2060,2691,5577,2199,2262]",-3,20,48,None,0
"[27489,34235,804,32944,12300,89238,24624,13781]",-20,40,40,None,0
"[4259,20894,11906,6453,4283,39490,12695,7085]",102,48,50,None,0
"[37976,43759,3606,8224,14437,31909,10435,6246]",16,53,44,None,0
"[14838,11085,61509,20374,13063,29224,25792,7475]",18,53,61,None,0
"[125979,90988,37799,10865,19698,38642,5550,12069]",-21,41,63,None,0
"[12299,27631,11274,17292,7837,61905,15646,5192]",75,43,63,None,0
"[21829,56248,3235,7597,19234,61670,8698,7135]",-26,47,56,None,0
"[8561,23116,16705,29195,9441,52779,15909,9670]",50,53,48,None,0
"[11288,7163,11042,5032,25205,36960,7777,18375]",106,66,44,None,0
"[4861,19982,14464,20980,8122,23345,5780,9072]",59,57,53,None,0
