eeg_power,raw_value,attention,meditation,blink,amount_of_noise
"[13,1,1,1,3,1,0,1]",36,0,0,None,None
"[68,5,3,1,3,2,3,3]",26,0,0,None,25
"[530709,170544,85945,110307,23914,67487,10093,20438]",116,0,0,None,25
"[221239,65692,48069,43308,16055,79098,16790,7286]",-46,0,0,None,0
"[32162,13237,3902,2468,11081,47277,10390,5070]",66,0,0,None,0
"[201219,100440,47318,25893,17093,24154,14152,14553]",-213,30,48,None,0
"[333690,45463,7384,12541,9636,22690,12735,6008]",33,29,51,None,0
"[3730,10911,8449,4993,12971,20206,18979,9228]",146,37,56,None,0
"[146394,87637,10605,46385,31000,14653,12018,11653]",39,26,63,None,0
"[24550,35464,21845,17724,18260,16252,8364,17536]",88,27,63,None,0
"[24706,15216,24868,13898,3943,16377,5532,6460]",93,27,78,None,0
"[93620,19295,2756,1574,3242,5514,1885,2524]",61,17,70,None,0
"[187178,82539,12644,13853,10301,25133,15896,7149]",-51,23,64,None,0
"[16987,20379,3347,8000,7352,13924,15999,9923]",37,29,57,None,0
"[76258,8156,1032,1759,1840,3829,1698,1425]",35,29,40,None,0
"[268306,118067,48553,7895,10857,13588,16720,5094]",-53,23,50,None,0
"[1026182,109697,11889,7766,11876,15574,2394,1392]",273,23,50,None,0
"[263257,24586,1850,3550,1378,3177,1475,1185]",66,16,48,None,51
"[134174,23726,15483,21292,5476,49498,10952,5091]",73,21,53,None,0
"[644175,210794,97315,19042,43520,25764,9139,12425]",54,10,60,None,0
"[76832,31642,7080,4046,3672,9905,7381,1674]",115,17,54,None,0
"[33350,45795,19996,13268,8481,57225,10496,7319]",-19,34,61,None,0
"[265317,9332,3480,906,1288,5849,3871,1419]",74,27,54,None,0
"[67894,143734,42700,40023,11165,15456,3310,9908]",-12,26,56,None,0
"[70977,20646,40729,7930,5984,41526,5477,3612]",41,35,67,None,0
"[476882,132354,13605,13726,24097,15853,5890,7226]",-725,20,60,None,0
"[389350,17102,3745,2137,2081,3184,657,304]",-7,11,61,None,0
"[1165405,35405,435,4865,4255,8978,1481,910]",388,11,61,None,0
"[113119,42146,31096,8880,3638,7783,1151,2105]",140,13,64,None,25
"[75672,27303,6957,10118,5089,21386,1867,1143]",4,11,57,None,0
"[53115,42965,7953,14994,12203,14623,5620,5781]",-86,16,64,None,0
"[94245,27131,14764,9054,5681,8530,3211,2181]",59,17,70,None,0
"[370367,563456,47118,12235,21407,44436,10200,10703]",59,16,51,None,0
"[287460,68783,71239,37476,24304,27622,14184,8275]",12,8,63,None,0
"[21690,13628,18445,11352,17926,47019,17738,5254]",99,20,64,None,0
"[254413,16769,1655,1445,8947,6935,6141,1786]",48,26,47,None,0
"[10543,30550,14962,7942,7459,78626,12010,5223]",-19,48,53,None,0
"[235886,35197,18446,17050,32090,33501,16570,6337]",76,56,44,None,0
"[39046,60250,26201,13693,15708,37049,14612,3126]",2,50,43,None,0
"[125741,73826,3193,8548,9493,45875,7104,6724]",11,53,43,None,0
"[112917,109558,25214,10802,15016,39453,8481,8089]",80,40,43,None,0
"[115514,6116,1549,3976,2298,12451,1803,3039]",26,47,40,None,0
"[198978,269009,29195,8633,10587,44283,16197,8598]",80,38,29,None,0
"[6337,30574,11403,22245,2502,60819,9758,8796]",32,41,44,None,0
"[12209,13677,23235,13473,7326,54966,8512,7062]",99,53,51,None,0
"[209089,11476,31927,21271,10680,44980,16960,3416]",17,48,63,None,0
"[96717,17601,7673,2033,2283,20478,3456,1135]",-29,61,69,None,0
"[90166,27672,38238,3690,7001,33601,13080,6067]",16,56,74,None,0
"[282453,76360,42758,17757,11741,18073,17249,3305]",-81,40,77,None,0
"[70949,40514,3982,4865,16042,42472,7746,7132]",-38,41,54,None,0
"[84216,5446,5629,5130,4277,17404,3317,2106]",57,44,60,None,0
"[65201,12818,10864,16099,10034,40903,18224,6661]",-34,50,56,None,0
"[8304,4756,55950,25126,3283,30766,11983,10423]",28,57,67,None,0
"[6232,30634,7787,20653,12878,31507,17444,16113]",165,54,83,None,0
"[74018,10717,3082,10936,6810,12804,2864,1600]",10,50,84,None,0
"[969,14252,9843,11318,22087,27511,27749,6426]",83,48,81,None,0
"[8145,31664,2906,12746,5270,53206,10200,9907]",37,56,56,None,0
"[2286,7854,9310,18226,7962,60023,31312,9288]",-2,64,56,None,0
"[92599,20457,10536,10298,4164,13933,6865,4298]",52,61,57,None,0
"[7939,36340,18819,23648,29222,41880,7805,18269]",68,57,60,None,0
"[582081,66278,26401,19770,31446,27285,12083,11458]",-18,47,67,None,0
"[131696,30474,27309,18075,8841,52546,4328,6507]",38,40,70,None,0
"[21223,15267,1854,19329,10972,30654,7599,12167]",21,47,67,None,0
"[16980,3589,11634,7128,16175,31952,19479,5273]",39,54,67,None,0
"[51509,45634,11014,7780,24543,53264,13822,8087]",20,63,57,None,0
"[20402,13396,6765,8125,19911,33367,12821,13721]",83,67,50,None,0
"[28385,17532,1439,8959,22413,28498,11728,9098]",69,69,40,None,0
"[15143,4835,33062,33504,10857,30319,11909,15161]",13,60,54,None,0
"[358993,6012,2239,7299,2785,16320,3669,6836]",76,61,63,None,0
"[37846,29929,42346,17370,17504,37108,20319,3974]",54,53,77,None,0
"[11935,27075,17501,29097,9599,18991,10998,11801]",36,43,93,None,0
"[2910,28510,10962,10467,7023,90908,14372,16149]",23,53,70,None,0
"[42375,27292,1127,5371,2610,10808,5217,3106]",1,43,63,None,0
"[571837,31792,1994,25586,11696,93448,10853,5704]",74,53,50,None,0
"[46021,33707,32717,64075,16261,47114,17993,6230]",81,54,51,None,0
"[15790,22103,11020,12451,2968,48511,7743,16773]",44,50,57,None,0
