eeg_power,raw_value,attention,meditation,blink,amount_of_noise
"[1987566,49992,109744,49265,49375,87864,76610,24302]",1043,0,0,None,None
"[1678387,11376,5811,13505,23301,40248,64810,9827]",545,0,0,None,55
"[1671109,500831,117699,169595,173689,198758,61733,97274]",454,0,0,None,55
"[420277,34535,5177,39068,18308,105459,8398,7672]",228,0,0,None,55
"[1832651,82809,53031,77577,64168,104154,120142,6690]",50,0,0,None,55
"[411790,42089,19056,12106,13734,29273,29747,14636]",-322,0,0,None,200
"[918879,166146,7728,42961,23805,48482,44432,4478]",39,0,0,None,200
"[2365769,674853,544970,500501,627785,218088,102791,101460]",2047,0,0,None,200
"[1571245,237950,114450,75660,101322,91423,97767,29820]",-290,0,0,None,200
"[135554,114054,81877,74391,96915,100424,77847,54610]",-1197,0,0,None,200
"[663335,262480,54196,86492,17772,13235,5738,2662]",284,0,0,None,200
"[1132097,8613,5118,17913,30422,22079,18149,1333]",217,0,0,None,200
"[1688382,888306,103156,358839,282342,185280,139356,111681]",693,0,0,None,200
"[659066,93911,154749,84744,135140,56913,26776,25311]",444,0,0,None,200
"[532333,99609,63612,168360,39844,29417,38132,28464]",-126,0,0,None,200
"[1297980,1526188,349558,423159,493796,442125,77316,24601]",36,0,0,None,51
"[36855,2871,1117,1961,1345,483,441,550]",67,0,0,None,51
"[199631,19090,6496,5903,4432,13772,5427,3339]",123,0,0,None,25
"[12456,6866,10147,3449,3409,6231,1244,2775]",0,0,0,None,0
"[80129,9335,31708,14651,26768,20644,8664,4802]",52,0,0,None,0
"[19867,12160,30708,9730,16788,10571,8428,4102]",133,30,53,None,0
"[32118,15270,21557,2570,5722,16170,3281,3542]",25,44,57,None,0
"[23587,24296,13905,4667,9222,10701,2270,5108]",57,41,56,None,0
"[8393,29976,13162,7345,7956,9417,8967,4061]",5,29,54,None,0
"[20077,19084,8480,11373,7815,22178,6203,3875]",76,57,38,None,0
"[17307,7714,4412,2052,6275,17200,3830,2598]",56,69,14,None,0
"[35760,11480,45009,54470,6476,18607,2372,1672]",38,56,40,None,0
"[44759,101483,50775,18682,8169,8573,3578,2511]",5,50,41,None,0
"[42158,25595,33334,10485,8455,3972,13885,3012]",48,11,53,None,0
"[27024,23427,57930,47593,15398,2468,4577,8337]",112,1,93,None,0
"[27595,24764,11454,8081,7390,9689,5621,4289]",40,1,64,None,0
"[16028,7262,30132,16843,10518,9760,9270,3396]",107,14,81,None,0
"[17529,9050,47739,8788,12897,10554,2588,3768]",36,35,88,None,0
"[29348,41426,38963,5287,8840,22301,2816,2273]",6,60,66,None,0
"[240165,85013,86281,48763,18098,6289,4153,1477]",69,40,83,None,0
"[18615,9285,27877,17905,13931,8645,6921,3434]",97,38,80,None,0
"[20118,14827,33283,9879,11972,10323,5651,2122]",58,40,74,None,0
"[78168,121275,3305,27148,22252,11163,4306,4278]",8,26,54,None,0
"[16861,18901,16494,12247,7725,4305,11965,2830]",32,40,50,None,0
"[146297,271806,59594,58680,42572,17091,14148,6808]",39,26,27,None,0
"[612952,23990,39335,17191,15025,5379,14321,7035]",-6,16,30,None,0
"[11811,16919,52775,5400,3018,11128,1303,3055]",48,23,66,None,0
"[50723,37366,17449,15506,8207,10804,2884,3769]",54,27,61,None,0
"[80189,19875,2606,3485,7753,6281,1054,2270]",86,44,51,None,0
"[79933,28748,10766,1094,2696,4904,913,495]",70,51,30,None,0
"[14905,19273,13614,12162,6628,10073,4850,4103]",38,56,17,None,0
"[55998,23607,24456,19116,8380,20253,3579,2380]",138,61,23,None,0
"[26604,19925,45975,13951,7867,11076,8498,5677]",21,56,56,None,0
"[18726,55411,5679,7465,7642,6494,7380,8247]",27,53,48,None,0
"[23417,17865,27778,14017,6224,2578,9014,1819]",103,37,60,None,0
